date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:32	115589/115589	---M--	200	added ('OK')	image/jpeg	etag:%22192144c-1c385-53cec8ca31640%22	http://hava-skafferisalonger.se/sites/default/files/Hava_Splash_338x277px-2_1.jpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/Hava_Splash_338x277px-2_1.jpg	(from http://hava-skafferisalonger.se/salonger)
16:55:34	15064/15064	---MC-	200	added ('OK')	text/html	etag:%221538405733-0%22	http://hava-skafferisalonger.se/file/88	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/88.html	(from http://hava-skafferisalonger.se/file/havaocc88ppet338x277pxjpg)
16:55:34	134677/134677	---M--	200	added ('OK')	image/jpeg	etag:%221921455-20e15-53cb1a9311f40%22	http://hava-skafferisalonger.se/sites/default/files/Hava_salongerna_0.jpg	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/Hava_salongerna_0.jpg	(from http://hava-skafferisalonger.se/salonger)
16:55:35	15042/15042	---MC-	200	added ('OK')	text/html	etag:%221538405734-0%22	http://hava-skafferisalonger.se/file/95	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/95.html	(from http://hava-skafferisalonger.se/file/havasplash338x277pxjpg)
16:55:36	15046/15046	---MC-	200	added ('OK')	text/html	etag:%221538405734-0%22	http://hava-skafferisalonger.se/file/89	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/89.html	(from http://hava-skafferisalonger.se/file/havabokning338x277pxjpg)
16:55:36	15035/15035	---MC-	200	added ('OK')	text/html	etag:%221538405735-0%22	http://hava-skafferisalonger.se/file/59	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/59.html	(from http://hava-skafferisalonger.se/file/bakgrundsbildtopjpg-0)
16:55:37	15039/15039	---MC-	200	added ('OK')	text/html	etag:%221538405736-0%22	http://hava-skafferisalonger.se/file/74	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/74.html	(from http://hava-skafferisalonger.se/file/vinlistaingressbildjpg)
16:55:38	15052/15052	---MC-	200	added ('OK')	text/html	etag:%221538405736-0%22	http://hava-skafferisalonger.se/file/93	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/93.html	(from http://hava-skafferisalonger.se/file/havasplash338x277px-2jpg)
16:55:38	15021/15021	---MC-	200	added ('OK')	text/html	etag:%221538405737-0%22	http://hava-skafferisalonger.se/file/76	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/76.html	(from http://hava-skafferisalonger.se/file/havasalongernajpg)
16:55:39	15054/15054	---MC-	200	added ('OK')	text/html	etag:%221538405738-0%22	http://hava-skafferisalonger.se/file/94	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/file/94.html	(from http://hava-skafferisalonger.se/file/havasplash338x277px-2jpg-0)
16:55:40	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2001%20Oct%202018%2014:55:39%20GMT	http://hava-skafferisalonger.se/sites/default/files/js/js_zfknOK6Pz34lw30Xsm5toXF4sk5yxEBB-TzI9ylO60s.js	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/js/js_zfknOK6Pz34lw30Xsm5toXF4sk5yxEBB-TzI9ylO60s.js	(from http://hava-skafferisalonger.se/)
16:55:40	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2001%20Oct%202018%2014:55:39%20GMT	http://hava-skafferisalonger.se/sites/default/files/js/js_gPM6NXOQjN2XM2JWQGfy07nKmcdDFrL289YA7h80ySs.js	C:/code/Hava-skafferisalonger.se/html/Hava-skafferisalong/hava-skafferisalonger.se/sites/default/files/js/js_gPM6NXOQjN2XM2JWQGfy07nKmcdDFrL289YA7h80ySs.js	(from http://hava-skafferisalonger.se/)
